city,date_time,temp,humidity,weather_description,wind_speed
Mumbai,2024-12-11 00:00:00,24.81,46,scattered clouds,3.76
Mumbai,2024-12-11 03:00:00,24.76,43,broken clouds,3.67
Mumbai,2024-12-11 06:00:00,27.72,39,broken clouds,2.19
Mumbai,2024-12-11 09:00:00,28.65,42,broken clouds,3.79
Mumbai,2024-12-11 12:00:00,27.21,53,broken clouds,5.59
Mumbai,2024-12-11 15:00:00,27.15,56,few clouds,4.83
Mumbai,2024-12-11 18:00:00,26.61,55,few clouds,2.73
Mumbai,2024-12-11 21:00:00,26.04,51,scattered clouds,1.91
Mumbai,2024-12-12 00:00:00,25.51,50,scattered clouds,2.32
Mumbai,2024-12-12 03:00:00,25.52,48,broken clouds,2.88
Mumbai,2024-12-12 06:00:00,28.13,39,scattered clouds,0.9
Mumbai,2024-12-12 09:00:00,27.64,52,overcast clouds,5.35
Mumbai,2024-12-12 12:00:00,26.93,58,broken clouds,6.97
Mumbai,2024-12-12 15:00:00,26.88,57,few clouds,5.36
Delhi,2024-12-07 18:00:00,14.07,54,clear sky,2.74
Delhi,2024-12-07 21:00:00,15.1,42,clear sky,2.9
Delhi,2024-12-08 00:00:00,15.35,32,clear sky,3.4
Delhi,2024-12-08 03:00:00,16.04,22,clear sky,4.12
Delhi,2024-12-08 06:00:00,21.02,22,clear sky,4.98
Delhi,2024-12-08 09:00:00,23.84,23,clear sky,3.81
Delhi,2024-12-08 12:00:00,21.84,32,light rain,2.62
Delhi,2024-12-08 15:00:00,19.03,42,light rain,4.69
Delhi,2024-12-08 18:00:00,16.77,45,light rain,2.41
Delhi,2024-12-08 21:00:00,15.39,48,light rain,4.6
Delhi,2024-12-09 00:00:00,14.67,48,clear sky,2.51
Delhi,2024-12-09 03:00:00,14.85,52,clear sky,3.93
Delhi,2024-12-09 06:00:00,19.02,40,clear sky,2.87
Delhi,2024-12-09 09:00:00,21.67,32,clear sky,2.09
Delhi,2024-12-09 12:00:00,21.49,30,clear sky,2.0
Delhi,2024-12-09 15:00:00,19.61,38,clear sky,3.1
Delhi,2024-12-09 18:00:00,18.14,35,clear sky,3.08
Delhi,2024-12-09 21:00:00,16.73,35,clear sky,2.6
Delhi,2024-12-10 00:00:00,16.0,35,clear sky,3.06
Delhi,2024-12-10 03:00:00,15.9,36,clear sky,3.22
Delhi,2024-12-10 06:00:00,19.68,26,clear sky,3.19
Delhi,2024-12-10 09:00:00,22.06,16,clear sky,3.26
Delhi,2024-12-10 12:00:00,21.35,16,clear sky,2.83
Delhi,2024-12-10 15:00:00,19.6,16,clear sky,2.23
Delhi,2024-12-10 18:00:00,17.7,15,clear sky,2.37
Delhi,2024-12-10 21:00:00,16.31,16,clear sky,2.7
Delhi,2024-12-11 00:00:00,15.18,15,clear sky,2.57
Delhi,2024-12-11 03:00:00,15.19,12,scattered clouds,3.14
Delhi,2024-12-11 06:00:00,19.28,9,scattered clouds,3.59
Delhi,2024-12-11 09:00:00,22.34,7,scattered clouds,4.05
Delhi,2024-12-11 12:00:00,21.48,8,scattered clouds,3.1
Delhi,2024-12-11 15:00:00,19.53,10,scattered clouds,3.22
Delhi,2024-12-11 18:00:00,17.88,11,scattered clouds,2.78
Delhi,2024-12-11 21:00:00,16.61,12,scattered clouds,3.13
Delhi,2024-12-12 00:00:00,15.5,13,scattered clouds,3.47
Delhi,2024-12-12 03:00:00,15.59,12,scattered clouds,3.77
Delhi,2024-12-12 06:00:00,20.02,11,scattered clouds,3.7
Delhi,2024-12-12 09:00:00,23.52,11,clear sky,3.71
Delhi,2024-12-12 12:00:00,22.46,12,clear sky,2.36
Delhi,2024-12-12 15:00:00,20.14,15,clear sky,2.34
